srno,category_id,sub_category_id,product_sku,name,description,dimension,material,diamond,stone,gold_weight_18k,gold_weight_22k,is_22k_gold,gold_weight_14k,making_charges,quantity,color,video,default_color,default_video,is_recommended,is_most_selling,is_most_liked,is_soliter,soliter_setting,product_base_price,product_buy_price,discount,status,total_reviews,avg_rating,related_items,created_At,updated_At
37,1,NULL,DSRI334,Stellar Edge Sparkle Rings,"These Stellar Edge Sparkle Rings are the perfect blend of shine and minimalism. Designed as diamond rings for women, the style brings a refined edge to traditional aesthetics. The shimmering band aligns with current ladies diamond ring design preferences, especially suited for evening occasions. The design stands out among ring design for women collections for its elegant structure. Perfect as casual rings for women or standout statement wear, it blends functionality and flair. With hints of a solitaire ring designs for female silhouette, it also ranks high among latest ring design for female entries. A fitting choice in the best rings for women category, it's crafted to impress.","{""height"":19.50,""width"":6.0}",Gold,"[{""carat"":0.16,""quantity"":18,""shape"":""round""}]",NULL,3.3,0,no,2.9,999,1,"yellow,rose,white","yellow,rose,white",yellow,yellow,0,1,1,no,no,33893,32108,0,1,0,0,NULL,14-05-2024 11:17,14-05-2024 11:17
38,1,NULL,DSRI334,Stellar Edge Sparkle Ring,"These Stellar Edge Sparkle Rings are the perfect blend of shine and minimalism. Designed as diamond rings for women, the style brings a refined edge to traditional aesthetics. The shimmering band aligns with current ladies diamond ring design preferences, especially suited for evening occasions. The design stands out among ring design for women collections for its elegant structure. Perfect as casual rings for women or standout statement wear, it blends functionality and flair. With hints of a solitaire ring designs for female silhouette, it also ranks high among latest ring design for female entries. A fitting choice in the best rings for women category, it's crafted to impress.","{""height"":19.50,""width"":6.0}",Gold,"[{""carat"":0.16,""quantity"":18,""shape"":""round""}]",,3.3,0,no,2.9,999,1,"yellow,rose,white","yellow,rose,white",rose,rose,0,1,1,no,no,33893,32108,0,1,0,0,NULL,14-05-2024 11:17,14-05-2024 11:17
39,1,NULL,DSRI334,Stellar Edge Sparkle Ring,"These Stellar Edge Sparkle Rings are the perfect blend of shine and minimalism. Designed as diamond rings for women, the style brings a refined edge to traditional aesthetics. The shimmering band aligns with current ladies diamond ring design preferences, especially suited for evening occasions. The design stands out among ring design for women collections for its elegant structure. Perfect as casual rings for women or standout statement wear, it blends functionality and flair. With hints of a solitaire ring designs for female silhouette, it also ranks high among latest ring design for female entries. A fitting choice in the best rings for women category, it's crafted to impress.","{""height"":19.50,""width"":6.0}",Gold,"[{""carat"":0.16,""quantity"":18,""shape"":""round""}]",,3.3,0,no,2.9,999,1,"yellow,rose,white","yellow,rose,white",white,white,0,1,1,no,no,33893,32108,0,1,0,0,NULL,14-05-2024 11:17,14-05-2024 11:17
40,1,NULL,DSRI333,Diamond Crown Chevron Ring,"The Diamond Crown Chevron Ring redefines sophistication with its regal V-shaped design. Its form reflects a modern gold ring design for girls, perfect for the fashion-forward woman. Designed as a simple ring design for girl, it balances bold sparkle and wearability. The clean edges showcase the brilliance of a diamond ring design for female. Made with a delicate gold finger ring design, it wraps gracefully around your hand. The crown-like contour also appeals to those seeking big rings for girls. Ideal for stacking or wearing solo, it stands as a gold woman ring design favorite. A statement piece from our latest ring design for female curation.
","{""height"":20.50,""width"":8.0}",Gold,"[{""carat"":0.24,""quantity"":13,""shape"":""round""}]",NULL,2.3,0,no,2,999,1,"yellow,rose,white","yellow,rose,white",yellow,yellow,0,1,1,no,no,34394,31223,0,1,0,0,NULL,14-05-2024 11:17,14-05-2024 11:17
41,1,NULL,DSRI333,Diamond Crown Chevron Ring,"The Diamond Crown Chevron Ring redefines sophistication with its regal V-shaped design. Its form reflects a modern gold ring design for girls, perfect for the fashion-forward woman. Designed as a simple ring design for girl, it balances bold sparkle and wearability. The clean edges showcase the brilliance of a diamond ring design for female. Made with a delicate gold finger ring design, it wraps gracefully around your hand. The crown-like contour also appeals to those seeking big rings for girls. Ideal for stacking or wearing solo, it stands as a gold woman ring design favorite. A statement piece from our latest ring design for female curation.
","{""height"":20.50,""width"":8.0}",Gold,"[{""carat"":0.24,""quantity"":13,""shape"":""round""}]",NULL,2.3,0,no,2,999,1,"yellow,rose,white","yellow,rose,white",rose,rose,0,0,0,no,no,34394,31223,0,1,0,0,NULL,14-05-2024 11:17,14-05-2024 11:17
42,1,NULL,DSRI333,Diamond Crown Chevron Ring,"The Diamond Crown Chevron Ring redefines sophistication with its regal V-shaped design. Its form reflects a modern gold ring design for girls, perfect for the fashion-forward woman. Designed as a simple ring design for girl, it balances bold sparkle and wearability. The clean edges showcase the brilliance of a diamond ring design for female. Made with a delicate gold finger ring design, it wraps gracefully around your hand. The crown-like contour also appeals to those seeking big rings for girls. Ideal for stacking or wearing solo, it stands as a gold woman ring design favorite. A statement piece from our latest ring design for female curation.
","{""height"":20.50,""width"":8.0}",Gold,"[{""carat"":0.24,""quantity"":13,""shape"":""round""}]",NULL,2.3,0,no,2,999,1,"yellow,rose,white","yellow,rose,white",white,white,0,1,1,no,no,34394,31223,0,1,0,0,NULL,14-05-2024 11:17,14-05-2024 11:17
43,1,NULL,DSRI332,Gilded Chevron Diamond Ring,"The Gilded Chevron Diamond Ring features a distinctive chevron pattern lined with glittering diamonds. It is a fine example of diamond ring design for female, combining geometric design with sparkle. This ring’s modern gold ring design for girls gives it a youthful and contemporary vibe. Its simple gold ring design for female base ensures it’s wearable for any occasion. With a comfortable gold finger ring design, it fits beautifully and securely. This piece ranks among the latest gold ring design for female, perfect for those who want a statement ring with elegance.
","{""height"":20.0,""width"":8.0}",Gold,"[{""carat"":0.14,""quantity"":7,""shape"":""round""}]",NULL,2.4,0,no,2.1,999,1,"yellow,rose,white","yellow,rose,white",yellow,yellow,0,1,1,no,no,26594,24940,0,1,0,0,NULL,14-05-2024 11:17,14-05-2024 11:17
44,1,NULL,DSRI332,Gilded Chevron Diamond Ring,"The Gilded Chevron Diamond Ring features a distinctive chevron pattern lined with glittering diamonds. It is a fine example of diamond ring design for female, combining geometric design with sparkle. This ring’s modern gold ring design for girls gives it a youthful and contemporary vibe. Its simple gold ring design for female base ensures it’s wearable for any occasion. With a comfortable gold finger ring design, it fits beautifully and securely. This piece ranks among the latest gold ring design for female, perfect for those who want a statement ring with elegance.
","{""height"":20.0,""width"":8.0}",Gold,"[{""carat"":0.14,""quantity"":7,""shape"":""round""}]",NULL,2.4,0,no,2.1,999,1,"yellow,rose,white","yellow,rose,white",rose,rose,0,1,1,no,no,26594,24940,0,1,0,0,NULL,14-05-2024 11:17,14-05-2024 11:17
45,1,NULL,DSRI332,Gilded Chevron Diamond Ring,"The Gilded Chevron Diamond Ring features a distinctive chevron pattern lined with glittering diamonds. It is a fine example of diamond ring design for female, combining geometric design with sparkle. This ring’s modern gold ring design for girls gives it a youthful and contemporary vibe. Its simple gold ring design for female base ensures it’s wearable for any occasion. With a comfortable gold finger ring design, it fits beautifully and securely. This piece ranks among the latest gold ring design for female, perfect for those who want a statement ring with elegance.
","{""height"":20.0,""width"":8.0}",Gold,"[{""carat"":0.14,""quantity"":7,""shape"":""round""}]",NULL,2.4,0,no,2.1,999,1,"yellow,rose,white","yellow,rose,white",white,white,0,1,1,no,no,26594,24940,0,1,0,0,NULL,14-05-2024 11:17,14-05-2024 11:17
46,1,NULL,DSRI331,Diamond Symphony Ring,"The Diamond Symphony Ring is a harmonious blend of elegance and craftsmanship. Its graceful design reflects the best of ladies diamond ring design, with sparkling stones set in a refined frame. The base features a gold ring design for female structure that sits comfortably on your finger. Crafted for versatility, it fits perfectly as a simple gold ring for women or a statement piece. It’s part of the real diamond rings for women collection, exuding both luxury and charm. A fine example of ring design for women gold, this piece complements any attire, be it casual or formal. The diamond ring design for woman ensures you stand out in every moment. Designed with comfort in mind, it is also a perfect fit under the latest gold ring design for female trend.
","{""height"":21.0,""width"":6.5}",Gold,"[{""carat"":0.15,""quantity"":13,""shape"":""round""}]",NULL,3.3,0,no,3,999,1,"yellow,rose,white","yellow,rose,white",yellow,yellow,0,1,1,no,no,33743,32129,0,1,0,0,NULL,14-05-2024 11:17,14-05-2024 11:17
