"1","1","gold ring","2023-10-30 22:45:28","2023-10-30 22:45:28"
"2","1","diamond ring","2023-10-30 22:45:28","2023-10-30 22:45:28"
"3","2","Plain Gold","2023-11-20 21:03:15","2023-11-20 21:03:15"
"4","3","Gold Earrings","2023-12-18 19:30:41","2023-12-18 19:30:41"
"5","2","Diamond","2024-01-28 17:28:49","2024-01-28 17:28:49"
"6","2","Office Wear","2024-01-28 17:29:00","2024-01-28 17:29:00"
"7","4","MangalSutra","2024-02-03 14:27:30","2024-02-03 14:27:30"
"8","4","Diamond","2024-02-03 14:27:38","2024-02-03 14:27:38"
"9","4","Gemstone","2024-02-03 14:27:51","2024-02-03 14:27:51"
"10","5","Diamond Bangle","2024-02-21 23:26:06","2024-02-21 23:26:06"
"11","6","Gold Chain","2024-03-21 17:11:00","2024-03-21 17:11:00"
"12","4","Pendants without chain","2024-05-19 22:17:35","2024-05-19 22:17:35"
